iter	Passed	Remaining
0	1	102
1	1	90
2	2	82
3	3	82
4	4	78
5	4	75
6	5	73
7	6	72
8	7	70
9	7	69
10	8	69
11	9	68
12	10	68
13	10	67
14	11	65
15	12	64
16	13	63
17	13	63
18	14	62
19	15	61
20	16	61
21	17	60
22	17	59
23	18	58
24	19	58
25	20	57
26	20	56
27	21	55
28	22	55
29	23	54
30	24	54
31	25	53
32	25	52
33	26	51
34	27	51
35	28	50
36	28	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
